time,inc0_low95CI,inc0_median,inc0_up95CI,inc1_low95CI,inc1_median,inc1_up95CI,inc2_low95CI,inc2_median,inc2_up95CI,inc3_low95CI,inc3_median,inc3_up95CI,nvacc_low95CI,nvacc_median,nvacc_up95CI,strategy,vaccswitch,coverage,vaccstart,duration
3464.0,539.0412645008415,571.9457801338285,606.0157220962458,538.6483028867282,571.9587032739073,608.618140046671,534.2285816140472,566.7463046461344,605.2052087810822,15558.467307844758,16742.20582804084,17942.76256505102,0.0,0.0,0.0,base,,,,
3465.0,536.5011549874209,569.019474292174,603.0331362431868,536.8390683121048,569.5190402101725,605.9030529851094,531.9266530730762,564.7873332686722,602.2051728829741,15571.273175664246,16748.222005724907,17939.265591190757,0.0,0.0,0.0,base,,,,
3466.0,533.6980202394537,565.8525293879211,599.1211888593622,534.9476421039551,567.1093301363289,602.5412872773595,529.7659357082099,562.5242738984525,599.0549914315343,15603.613790114969,16746.44915279746,17937.58296022862,0.0,0.0,0.0,base,,,,
3467.0,530.7054287463427,563.0498563740402,594.7061258211731,532.8790351076052,564.4506354089826,599.4224687558599,528.2278582450002,560.018079308793,595.7512277166359,15631.370123381168,16741.229430407286,17942.320525345207,0.0,0.0,0.0,base,,,,
3468.0,527.7182965913787,560.0186734255403,590.822524541337,531.1412366945297,561.3985777869821,595.8570461781695,526.5918185140938,557.5383663084358,592.4356752878055,15659.687849479913,16739.14403054118,17913.388196574153,0.0,0.0,0.0,base,,,,
3469.0,525.5731367671863,556.926486948505,587.2881659159436,528.8789787294343,559.0131736472249,592.198517855443,524.8227164865472,554.7511100508273,589.441566856578,15683.73178127259,16733.70383065939,17886.924566893278,0.0,0.0,0.0,base,,,,
3470.0,523.4262002889067,553.6910443492234,583.3419562142342,526.4090290972032,556.1708197072148,588.3324979454279,522.7204814233817,552.593896433711,586.3530214495025,15712.316357859969,16729.79108789563,17853.16134857535,0.0,0.0,0.0,base,,,,
3471.0,521.6775313141756,550.6115225926042,579.321445621457,523.9573951571249,553.6856947168708,584.3873058621772,520.5389009165577,550.0127210430801,582.8834027478471,15729.076346819103,16718.919244140387,17813.018064406515,0.0,0.0,0.0,base,,,,
3472.0,520.6002101320773,547.4681160449982,575.5840835060924,521.860201674793,550.9014585632831,580.5810580552555,519.3491418155842,547.4612738527358,579.1579015978612,15754.0364667207,16711.778253614902,17774.635636605322,0.0,0.0,0.0,base,,,,
3473.0,518.7405617959797,543.9762352071702,571.3585678718052,520.1317522615194,547.8462957087904,576.8084352659062,517.7383353662677,544.4246986377984,575.623471915815,15787.154244691133,16703.215844660997,17730.4460128054,0.0,0.0,0.0,base,,,,
3474.0,516.1533799333498,540.5320898573846,567.2013327768072,518.7015265095048,544.8992081191391,573.1965943805874,515.9617285413667,541.8134242165834,572.6641947519034,15795.485340091585,16698.918957799673,17686.57513539493,0.0,0.0,0.0,base,,,,
3475.0,513.2729228935204,537.0589041318744,563.1488208991475,516.2533206644468,541.6998431012034,570.1266868119128,514.4205825898796,539.3775320742279,569.839296302665,15811.22052527219,16672.867571234703,17646.62137056738,0.0,0.0,0.0,base,,,,
3476.0,509.16601465009154,533.6862467657775,558.3258322378621,513.3783667021431,538.3344684783369,566.9290602773427,512.3513158644549,536.6426397990435,566.6475599782541,15825.832223415375,16651.09692749381,17593.312458997963,0.0,0.0,0.0,base,,,,
